#,country,seasonality,sex,age_group,month,unemployment,unemployment_rate
type,url,,,,,,
see,countries.csv,,,,,,
,http://example.org/country/at,nsa,f,y25-74,1993.01,61000,4.5
,http://example.org/country/at,nsa,f,y25-74,1993.02,62000,4.5
,http://example.org/country/at,nsa,f,y25-74,1993.03,62000,4.5
,http://example.org/country/at,nsa,f,y25-74,1993.04,63000,4.6
,http://example.org/country/at,nsa,f,y25-74,1993.05,63000,4.6
,http://example.org/country/at,nsa,f,y25-74,1993.06,59000,4.3
,http://example.org/country/at,nsa,f,y25-74,1993.07,57000,4.2
,http://example.org/country/at,nsa,f,y25-74,1993.08,58000,4.2
,http://example.org/country/at,nsa,f,y25-74,1993.09,58000,4.3
,http://example.org/country/at,nsa,f,y25-74,1993.1,62000,4.5
,http://example.org/country/at,nsa,f,y25-74,1993.11,68000,4.9
,http://example.org/country/at,nsa,f,y25-74,1993.12,67000,4.9
,http://example.org/country/at,nsa,f,y25-74,1994.01,65000,4.7
,http://example.org/country/at,nsa,f,y25-74,1994.02,65000,4.7
,http://example.org/country/at,nsa,f,y25-74,1994.03,63000,4.6
,http://example.org/country/at,nsa,f,y25-74,1994.04,64000,4.7
,http://example.org/country/at,nsa,f,y25-74,1994.05,63000,4.6
,http://example.org/country/at,nsa,f,y25-74,1994.06,58000,4.2
,http://example.org/country/at,nsa,f,y25-74,1994.07,56000,4.1
,http://example.org/country/at,nsa,f,y25-74,1994.08,56000,4.1
,http://example.org/country/at,nsa,f,y25-74,1994.09,57000,4.2
,http://example.org/country/at,nsa,f,y25-74,1994.1,62000,4.5
,http://example.org/country/at,nsa,f,y25-74,1994.11,68000,4.9
,http://example.org/country/at,nsa,f,y25-74,1994.12,67000,4.9
,http://example.org/country/at,nsa,f,y25-74,1995.01,65000,4.7
,http://example.org/country/at,nsa,f,y25-74,1995.02,64000,4.7
,http://example.org/country/at,nsa,f,y25-74,1995.03,64000,4.6
,http://example.org/country/at,nsa,f,y25-74,1995.04,65000,4.7
,http://example.org/country/at,nsa,f,y25-74,1995.05,64000,4.7
,http://example.org/country/at,nsa,f,y25-74,1995.06,60000,4.4
,http://example.org/country/at,nsa,f,y25-74,1995.07,57000,4.2
,http://example.org/country/at,nsa,f,y25-74,1995.08,59000,4.3
,http://example.org/country/at,nsa,f,y25-74,1995.09,59000,4.3
,http://example.org/country/at,nsa,f,y25-74,1995.1,63000,4.6
,http://example.org/country/at,nsa,f,y25-74,1995.11,70000,5.1
,http://example.org/country/at,nsa,f,y25-74,1995.12,70000,5.1
,http://example.org/country/at,nsa,f,y25-74,1996.01,68000,4.9
,http://example.org/country/at,nsa,f,y25-74,1996.02,68000,5
,http://example.org/country/at,nsa,f,y25-74,1996.03,68000,4.9
,http://example.org/country/at,nsa,f,y25-74,1996.04,69000,5.1
,http://example.org/country/at,nsa,f,y25-74,1996.05,69000,5
,http://example.org/country/at,nsa,f,y25-74,1996.06,64000,4.6
,http://example.org/country/at,nsa,f,y25-74,1996.07,61000,4.5
,http://example.org/country/at,nsa,f,y25-74,1996.08,62000,4.5
,http://example.org/country/at,nsa,f,y25-74,1996.09,62000,4.5
,http://example.org/country/at,nsa,f,y25-74,1996.1,65000,4.7
,http://example.org/country/at,nsa,f,y25-74,1996.11,71000,5.1
,http://example.org/country/at,nsa,f,y25-74,1996.12,72000,5.2
,http://example.org/country/at,nsa,f,y25-74,1997.01,70000,5
,http://example.org/country/at,nsa,f,y25-74,1997.02,68000,4.9
,http://example.org/country/at,nsa,f,y25-74,1997.03,67000,4.8
,http://example.org/country/at,nsa,f,y25-74,1997.04,69000,4.9
,http://example.org/country/at,nsa,f,y25-74,1997.05,68000,4.9
,http://example.org/country/at,nsa,f,y25-74,1997.06,64000,4.6
,http://example.org/country/at,nsa,f,y25-74,1997.07,62000,4.5
,http://example.org/country/at,nsa,f,y25-74,1997.08,63000,4.6
,http://example.org/country/at,nsa,f,y25-74,1997.09,64000,4.6
,http://example.org/country/at,nsa,f,y25-74,1997.1,68000,4.9
,http://example.org/country/at,nsa,f,y25-74,1997.11,75000,5.3
